"","player","games","starts","goals","assists","shots_on_goal","shots","yellow","red","season","team","position","age","contract_value","contract_length","transfer_fee"
"519","Abdoulaye Doucoure",35,34,5,4,17,49,7,0,2019,"Watford","M",27,23478000,5,10320000
"35","Troy Deeney",15,14,5,1,13,25,3,0,2020,"Watford","F",31,21801000,5,NA
"488","Troy Deeney",32,28,9,5,29,64,4,1,2019,"Watford","F",31,21801000,5,NA
"179","Tom Cleverley",9,8,1,0,3,13,0,0,2020,"Watford","M",30,16770000,5,10203900
"676","Tom Cleverley",13,4,1,0,2,4,2,0,2019,"Watford","M",30,16770000,5,10203900
"60","Roberto Pereyra",20,11,3,0,7,14,3,0,2020,"Watford","M",29,15093000,5,14747538
"508","Roberto Pereyra",33,33,6,2,22,57,3,0,2019,"Watford","M",29,15093000,5,14747538
"388","Sebastian Prodl",1,1,0,0,0,1,0,0,2020,"Watford","D",32,12074400,4,NA
"860","Sebastian Prodl",1,0,0,0,0,0,0,0,2019,"Watford","D",32,12074400,4,NA
"350","Daryl Janmaat",8,7,0,1,0,3,1,0,2020,"Watford","D",30,12074400,4,9765300
"856","Daryl Janmaat",18,17,0,2,1,9,3,0,2019,"Watford","D",30,12074400,4,9765300
"353","Nathaniel Chalobah",14,9,0,1,1,6,1,0,2020,"Watford","M",25,11739000,5,NA
"855","Nathaniel Chalobah",9,3,0,0,1,2,2,0,2019,"Watford","M",25,11739000,5,NA
"260","Etienne Capoue",21,21,0,2,1,12,6,0,2020,"Watford","M",31,10732800,4,8127000
"675","Etienne Capoue",33,33,1,2,3,15,14,1,2019,"Watford","M",31,10732800,4,8127000
"349","Christian Kabasele",16,15,0,1,0,3,1,1,2020,"Watford","D",28,10062000,5,7623900
"857","Christian Kabasele",21,19,0,0,1,7,2,0,2019,"Watford","D",28,10062000,5,7623900
"152","Will Hughes",18,15,1,1,3,16,4,0,2020,"Watford","M",24,10062000,5,9984600
"602","Will Hughes",32,31,2,4,9,31,5,0,2019,"Watford","M",24,10062000,5,9984600
"203","Adam Masina",14,10,1,0,1,5,3,0,2020,"Watford","D",26,9391200,5,5805000
"877","Adam Masina",14,11,0,0,0,3,5,0,2019,"Watford","D",26,9391200,5,5805000
"45","Gerard Deulofeu",26,23,4,5,20,51,3,0,2020,"Watford","F",25,8049600,2,14835000
"486","Gerard Deulofeu",30,26,10,4,22,60,3,0,2019,"Watford","F",25,8049600,2,14835000
"270","Isaac Success",5,0,0,0,1,1,1,0,2020,"Watford","F",24,8049600,4,17028000
"679","Isaac Success",30,9,1,1,11,25,4,0,2019,"Watford","F",24,8049600,4,17028000
"873","Marc Navarro",2,1,0,0,0,0,0,0,2019,"Watford","D",24,7714200,5,2322000
"258","Craig Cathcart",24,24,0,0,0,3,5,0,2020,"Watford","D",31,6166200,4,NA
"567","Craig Cathcart",36,35,3,0,5,11,2,0,2019,"Watford","D",31,6166200,4,NA
"256","Kiko Femenia",17,15,0,0,1,4,4,0,2020,"Watford","D",29,5366400,4,NA
"677","Kiko Femenia",29,22,1,1,2,6,1,0,2019,"Watford","D",29,5366400,4,NA
"684","Ken Sema",17,9,1,2,5,11,1,0,2019,"Watford","M",26,5031000,5,2574840
"259","Jose Holebas",12,11,0,0,2,4,5,0,2020,"Watford","D",35,4024800,2,2747700
"568","Jose Holebas",28,27,3,6,6,18,12,1,2019,"Watford","D",35,4024800,2,2747700
"255","Ben Foster",26,26,0,0,1,1,1,0,2020,"Watford","GK",36,4024800,2,NA
"878","Ben Foster",38,38,0,0,1,3,1,0,2019,"Watford","GK",36,4024800,2,NA
"341","Domingos Quina",4,0,0,0,1,1,0,0,2020,"Watford","M",20,2146560,4,1277100
"670","Domingos Quina",8,3,1,0,1,5,0,0,2019,"Watford","M",20,2146560,4,1277100
"874","Ben Wilmot",2,0,0,0,0,0,0,0,2019,"Watford","D",20,1677000,5,1973700
"372","Adrian Mariappa",15,13,0,0,0,0,2,0,2020,"Watford","D",33,1408680,3,NA
"858","Adrian Mariappa",26,20,0,0,1,8,3,0,2019,"Watford","D",33,1408680,3,NA
"325","Danny Welbeck",7,3,0,0,3,5,0,0,2020,"Watford","F",29,0,NA,NA
"630","Danny Welbeck",8,1,1,1,2,4,0,0,2019,"Watford","F",29,0,NA,NA
"257","Craig Dawson",19,16,0,0,2,4,4,0,2020,"Watford","D",29,0,4,8965500
"373","Dimitri Foulquier",3,1,0,0,0,0,0,0,2020,"Watford","D",26,0,4,NA
"75","Ismaila Sarr",16,11,3,2,8,27,1,0,2020,"Watford","F",21,0,5,44118000
"436","Ignacio Pussetto",4,0,0,0,0,0,0,0,2020,"Watford","F",24,0,NA,NA
"74","Andriy Yarmolenko",15,9,3,1,7,18,2,0,2020,"West Ham United","F",30,30856800,4,22833000
"606","Andriy Yarmolenko",9,5,2,0,3,9,2,0,2019,"West Ham United","F",30,30856800,4,22833000
"109","Angelo Ogbonna",21,21,2,0,4,8,4,0,2020,"West Ham United","D",31,23478000,5,12061500
"669","Angelo Ogbonna",24,20,1,1,5,14,2,0,2019,"West Ham United","D",31,23478000,5,12061500
"952","Felipe Anderson",19,18,1,4,9,23,1,0,2020,"West Ham United","M",26,22807200,4,43473000
"968","Felipe Anderson",36,36,9,4,24,59,3,0,2019,"West Ham United","M",26,22807200,4,43473000
"81","Issa Diop",20,19,2,0,4,7,7,0,2020,"West Ham United","D",23,22471800,5,28251000
"682","Issa Diop",33,33,1,0,5,12,4,0,2019,"West Ham United","D",23,22471800,5,28251000
"220","Jack Wilshere",6,2,0,0,0,0,0,0,2020,"West Ham United","M",28,20124000,3,NA
"753","Jack Wilshere",8,4,0,1,1,2,2,0,2019,"West Ham United","M",28,20124000,3,NA
"221","Manuel Lanzini",19,12,0,2,8,17,0,0,2020,"West Ham United","M",27,18782400,4,13158000
"668","Manuel Lanzini",10,8,1,1,4,11,2,0,2019,"West Ham United","M",27,18782400,4,13158000
"131","Michail Antonio",12,7,1,1,8,24,0,0,2020,"West Ham United","M",29,18782400,4,10423200
"505","Michail Antonio",33,22,6,3,23,63,3,0,2019,"West Ham United","M",29,18782400,4,10423200
"56","Aaron Cresswell",20,20,3,0,4,13,6,0,2020,"West Ham United","D",30,16770000,5,5211600
"831","Aaron Cresswell",20,18,0,1,1,11,1,0,2019,"West Ham United","D",30,16770000,5,5211600
"321","Arthur Masuaku",15,10,0,1,2,6,3,0,2020,"West Ham United","D",26,13416000,5,7791600
"835","Arthur Masuaku",23,19,0,1,2,5,2,0,2019,"West Ham United","D",26,13416000,5,7791600
"217","Lukasz Fabianski",13,13,0,0,0,0,1,0,2020,"West Ham United","GK",34,13080600,3,9030000
"869","Lukasz Fabianski",38,38,0,0,0,0,0,0,2019,"West Ham United","GK",34,13080600,3,9030000
"33","Robert Snodgrass",21,16,5,3,9,22,4,0,2020,"West Ham United","M",32,10732800,4,13158000
"608","Robert Snodgrass",33,25,2,5,7,29,10,0,2019,"West Ham United","M",32,10732800,4,13158000
"218","Ryan Fredericks",20,19,0,2,0,1,5,0,2020,"West Ham United","D",27,10732800,4,NA
"695","Ryan Fredericks",15,12,1,0,3,5,5,0,2019,"West Ham United","D",27,10732800,4,NA
"130","Fabian Balbuena",13,12,1,0,3,4,2,0,2020,"West Ham United","D",28,8049600,3,4644000
"686","Fabian Balbuena",23,23,1,0,2,18,2,0,2019,"West Ham United","D",28,8049600,3,4644000
"53","Mark Noble",23,23,4,1,6,15,3,0,2020,"West Ham United","M",32,6708000,2,NA
"518","Mark Noble",31,29,5,5,8,17,6,1,2019,"West Ham United","M",32,6708000,2,NA
"327","Carlos Sanchez",6,1,0,0,0,0,0,0,2020,"West Ham United","M",34,6708000,2,NA
"908","Carlos Sanchez",7,2,0,0,0,3,0,0,2019,"West Ham United","M",34,6708000,2,NA
"368","Pablo Zabaleta",10,6,0,0,0,2,2,0,2020,"West Ham United","D",35,5031000,1,NA
"837","Pablo Zabaleta",26,23,0,1,1,7,4,0,2019,"West Ham United","D",35,5031000,1,NA
"219","Declan Rice",26,26,0,2,8,14,4,0,2020,"West Ham United","D",21,1006200,5,NA
"600","Declan Rice",34,34,2,0,5,22,4,0,2019,"West Ham United","D",21,1006200,5,NA
"832","Grady Diangana",17,6,0,1,3,10,0,0,2019,"West Ham United","F",21,804960,6,NA
"438","Darren Randolph",2,2,0,0,0,0,0,0,2020,"West Ham United","GK",32,0,4,6669300
"412","David Martin",5,4,0,0,0,0,1,0,2020,"West Ham United","GK",34,0,2,NA
"133","Pablo Fornals",24,13,1,3,6,18,1,0,2020,"West Ham United","M",24,0,5,41176800
"28","Sebastian Haller",24,22,6,1,18,32,1,0,2020,"West Ham United","F",25,0,5,58824000
"394","Albian Ajeti",8,0,0,0,1,2,0,0,2020,"West Ham United","F",22,0,4,12796800
"294","Rui Patricio",26,26,0,0,1,4,0,0,2020,"Wolverhampton Wanderers","GK",32,26832000,4,NA
"863","Rui Patricio",37,37,0,0,0,0,0,0,2019,"Wolverhampton Wanderers","GK",32,26832000,4,NA
"105","Patrick Cutrone",12,3,2,0,5,9,0,0,2020,"Wolverhampton Wanderers","F",22,16883520,4,26470800
"103","Ruben Neves",26,23,2,1,7,28,7,0,2020,"Wolverhampton Wanderers","M",22,16770000,5,NA
"537","Ruben Neves",35,34,4,3,17,73,8,0,2019,"Wolverhampton Wanderers","M",22,16770000,5,NA
"52","Adama Traore",25,21,4,7,11,31,0,0,2020,"Wolverhampton Wanderers","F",24,14422200,5,23220000
"702","Adama Traore",29,8,1,1,7,22,1,0,2019,"Wolverhampton Wanderers","F",24,14422200,5,23220000
"703","Jonny Castro",33,32,1,1,7,26,6,0,2019,"Wolverhampton Wanderers","D",25,12300150,5,NA
"13","Raul Jimenez",26,25,11,6,34,73,2,0,2020,"Wolverhampton Wanderers","F",28,11063040,4,55882800
"470","Raul Jimenez",38,36,13,7,38,113,4,0,2019,"Wolverhampton Wanderers","F",28,11063040,4,55882800
"671","Helder Costa",25,16,1,2,7,26,3,0,2019,"Wolverhampton Wanderers","F",26,10900500,5,17221500
"359","Ruben Vinagre",10,3,0,0,0,2,1,0,2020,"Wolverhampton Wanderers","D",20,10062000,5,NA
"841","Ruben Vinagre",17,7,0,0,4,6,1,0,2019,"Wolverhampton Wanderers","D",20,10062000,5,NA
"838","Leo Bonatini",7,0,0,1,1,8,0,0,2019,"Wolverhampton Wanderers","F",25,9391200,4,4515000
"296","Conor Coady",26,26,0,0,1,1,2,0,2020,"Wolverhampton Wanderers","D",26,4024800,4,NA
"900","Conor Coady",38,38,0,0,0,0,5,0,2019,"Wolverhampton Wanderers","D",26,4024800,4,NA
"106","Romain Saiss",22,20,2,0,4,11,7,0,2020,"Wolverhampton Wanderers","M",29,2951520,2,4644000
"601","Romain Saiss",19,12,2,0,5,11,7,0,2019,"Wolverhampton Wanderers","M",29,2951520,2,4644000
"298","Ryan Bennett",11,7,0,0,0,0,2,0,2020,"Wolverhampton Wanderers","D",29,2683200,2,NA
"696","Ryan Bennett",34,34,1,0,4,15,12,0,2019,"Wolverhampton Wanderers","D",29,2683200,2,NA
"66","Matt Doherty",24,21,3,0,10,18,1,0,2020,"Wolverhampton Wanderers","D",28,2683200,4,NA
"541","Matt Doherty",38,35,4,5,18,44,5,0,2019,"Wolverhampton Wanderers","D",28,2683200,4,NA
"102","Leander Dendoncker",26,24,2,0,4,8,3,0,2020,"Wolverhampton Wanderers","M",24,2543880,1,19853100
"611","Leander Dendoncker",19,17,2,0,10,17,1,0,2019,"Wolverhampton Wanderers","M",24,2543880,1,19853100
"840","Will Norris",1,0,0,0,0,0,0,0,2019,"Wolverhampton Wanderers","GK",26,603720,3,NA
"344","Morgan Gibbs-White",4,1,0,0,0,1,0,0,2020,"Wolverhampton Wanderers","M",20,503100,5,NA
"839","Morgan Gibbs White",26,5,0,1,1,7,1,0,2019,"Wolverhampton Wanderers","M",20,503100,5,NA
"360","Jesus Vallejo",2,1,0,0,0,0,1,0,2020,"Wolverhampton Wanderers","D",23,0,1,NA
"115","Pedro Neto",19,7,2,2,3,11,2,0,2020,"Wolverhampton Wanderers","F",19,0,5,26909400
"452","Daniel Podence",2,0,0,0,0,1,0,0,2020,"Wolverhampton Wanderers","F",24,0,5,27812400
