player,games,starts,goals,assists,shots_on_goal,shots,yellow,red
"Armstrong, Stuart",19,10,2,0,7,19,2,0
"Djenepo, Moussa",16,8,2,1,6,12,4,0
"Mooy, Aaron",19,17,2,1,6,26,0,0
"Otamendi, Nicolas",17,14,2,0,5,10,3,0
"Schlupp, Jeffrey",14,9,2,1,5,7,2,0
"Neto, Pedro",19,7,2,2,3,11,2,0
"Fernandez, Federico",20,17,2,1,3,4,4,0
"Hendrick, Jeff",21,19,2,2,7,15,6,0
"Connolly, Aaron",16,9,2,0,11,24,0,0
"Rudiger, Antonio",11,11,2,0,3,6,3,0
"Tosun, Cenk",8,4,2,0,5,16,0,0
"Clark, Ciaran",14,14,2,0,4,6,3,0
"Longstaff, Matthew",7,6,2,0,2,3,1,0
"Gosling, Dan",13,9,2,1,2,6,1,0
"Jahanbakhsh, Alireza",6,3,2,0,2,8,0,0
"Lejeune, Florian",6,4,2,0,3,4,0,0
"Robertson, Andy",26,25,1,6,4,13,1,0
Fabinho,17,12,1,1,2,6,5,0
"McLean, Kenny",25,22,1,1,8,17,4,0
"Hernandez, Onel",17,7,1,1,6,13,0,0
"Drmic, Josip",11,0,1,0,1,3,0,0
"Balbuena, Fabian",13,12,1,0,3,4,2,0
"Antonio, Michail",12,7,1,1,8,24,0,0
Felipe Anderson,19,18,1,4,9,23,1,0
"Walker, Kyle",20,20,1,2,3,14,4,0
"Fornals, Pablo",24,13,1,3,6,18,1,0
Chicharito,2,1,1,0,2,3,0,0
"Mepham, Chris",11,10,1,0,2,5,1,0
"Cook, Steve",19,19,1,0,1,7,3,1
"Billing, Philip",24,22,1,1,3,20,7,0
"Fraser, Ryan",25,19,1,3,14,24,2,0
"Norwood, Oliver",26,26,1,0,8,22,6,0
"Stevens, Enda",26,26,1,2,3,11,5,0
"Robinson, Callum",16,9,1,1,2,9,1,0
"Tarkowski, James",26,26,1,1,4,12,6,0
"Gudmundsson, Johann",7,4,1,0,2,5,0,0
"McNeil, Dwight",26,26,1,3,7,26,4,0
"Vestergaard, Jannik",13,13,1,0,3,4,2,0
"Bednarek, Jan",24,24,1,0,1,4,3,0
"Stephens, Jack",18,17,1,3,2,4,1,0
"Bertrand, Ryan",21,20,1,1,2,7,3,1
"Townsend, Andros",15,9,1,1,4,7,0,0
"Benteke, Christian",17,6,1,0,14,20,2,0
"Keane, Michael",20,17,1,0,3,6,0,0
"Sigurdsson, Gylfi",23,20,1,2,15,32,2,0
"Hughes, Will",18,15,1,1,3,16,4,0
"Duffy, Shane",14,10,1,0,2,5,1,0
"Propper, Davy",23,23,1,2,4,18,3,0
"Murray, Glenn",17,5,1,0,5,16,0,0
"Andone, Florin",3,1,1,0,1,1,0,1
"Obafemi, Michael",12,4,1,0,2,4,1,0
"Kean, Moise",19,5,1,2,9,18,0,0
"Davies, Tom",19,13,1,0,5,8,6,0
"Wickham, Connor",6,0,1,1,1,3,0,0
"Alderweireld, Toby",25,25,1,2,3,7,4,0
"Engels, Bjorn",16,14,1,0,1,3,1,0
"Lascelles, Jamaal",16,16,1,0,4,4,1,0
"Soyuncu, Caglar",25,25,1,1,7,14,4,0
"Evans, Jonny",26,26,1,0,4,14,4,0
"Hayden, Isaac",22,21,1,0,5,14,4,1
Joelinton,26,25,1,2,16,37,4,0
"Choudhury, Hamza",15,8,1,1,4,7,2,0
"Chambers, Calum",14,13,1,1,2,10,5,0
"Moutinho, Joao",26,24,1,7,6,17,5,0
"Otto, Jonny",25,24,1,1,5,15,4,0
"Saint-Maximin, Allan",15,13,1,2,6,18,0,0
"Lindelof, Victor",23,23,1,0,1,3,4,0
"Maguire, Harry",26,26,1,0,9,21,2,0
"Pereira, Andreas",23,18,1,3,16,39,3,0
"Kovacic, Mateo",23,16,1,3,3,17,7,0
"Torreira, Lucas",23,15,1,1,6,14,4,0
"Matip, Joel",7,7,1,0,1,3,0,0
"Walcott, Theo",19,13,1,2,8,20,1,0
"Cleverley, Tom",9,8,1,0,3,13,0,0
"Vrancic, Mario",11,4,1,0,2,5,2,0
"Tettey, Alexander",20,18,1,1,3,15,4,0
"Praet, Dennis",18,8,1,2,3,8,0,0
"Iwobi, Alex",17,12,1,0,9,15,0,0
"Srbeny, Dennis",8,0,1,0,1,1,0,0
"Alonso, Marcos",8,6,1,2,3,6,3,0
"Kouyate, Cheikhou",24,20,1,1,4,9,1,0
"Lallana, Adam",13,3,1,1,1,3,1,0
"Long, Shane",16,10,1,2,8,20,0,0
"Tomori, Fikayo",14,14,1,0,4,5,3,0
"Gray, Demarai",14,2,1,1,6,8,1,0
"Batshuayi, Michy",15,1,1,1,2,15,0,0
"Shaqiri, Xherdan",6,2,1,0,1,3,0,0
"Vertonghen, Jan",17,16,1,1,2,3,2,0
"Vydra, Matej",7,0,1,1,3,5,0,0
"Ozil, Mesut",16,16,1,1,3,7,1,0
"Brady, Robbie",13,5,1,2,2,5,1,0
"Targett, Matt",18,18,1,2,6,9,3,0
"Hudson Odoi, Callum",17,7,1,4,5,25,1,0
"Yedlin, DeAndre",12,8,1,0,2,2,3,0
"Tomkins, James",18,18,1,1,2,5,5,0
"Keita, Naby",8,3,1,1,4,7,1,0
"Williams, Brandon",10,8,1,0,1,4,5,0
"Masina, Adam",14,10,1,0,1,5,3,0
"Bellerin, Hector",6,6,1,0,1,3,2,0
"Samatta, Mbwana",2,2,1,0,2,4,0,0
"Bergwijn, Steven",2,2,1,0,3,4,0,0
Alisson,18,18,0,1,0,0,0,1
"Gomez, Joe",17,12,0,0,0,0,3,0
"Krul, Tim",24,24,0,0,0,0,4,0
"Aarons, Max",24,24,0,0,3,11,5,0
"Godfrey, Ben",18,18,0,0,1,4,1,1
"Hanley, Grant",12,11,0,0,1,4,3,0
"Lewis, Jamal",16,13,0,0,1,5,2,0
"Buendia, Emiliano",25,20,0,6,8,25,3,0
"Trybull, Tom",14,12,0,0,0,7,2,0
"Stiepermann, Marco",17,11,0,0,5,13,4,0
Adrian,10,8,0,0,0,0,1,0
"Leitner, Moritz",9,7,0,0,1,6,1,0
"Fabianski, Lukasz",13,13,0,0,0,0,1,0
"Fredericks, Ryan",20,19,0,2,0,1,5,0
"Rice, Declan",26,26,0,2,8,14,4,0
"Wilshere, Jack",6,2,0,0,0,0,0,0
"Lanzini, Manuel",19,12,0,2,8,17,0,0
Ederson,23,23,0,0,0,0,3,1
"Stones, John",12,10,0,0,0,5,0,0
"Laporte, Aymeric",6,6,0,0,0,1,1,0
"Zinchenko, Olexandr",11,9,0,0,2,11,0,0
"Foden, Philip",13,2,0,1,4,7,0,0
"Ramsdale, Aaron",25,25,0,0,0,0,0,0
"Smith, Adam",15,15,0,1,1,3,4,0
"Lerma, Jefferson",22,20,0,1,1,16,9,0
"Rico, Diego",21,21,0,2,4,7,6,0
"Henderson, Dean",25,25,0,0,0,1,2,0
"Basham, Chris",26,26,0,0,0,3,4,0
"Egan, John",25,25,0,0,3,12,2,0
"O'Connell, Jack",26,26,0,1,2,10,3,0
"McGoldrick, David",19,16,0,2,21,36,2,0
"Pope, Nick",26,26,0,0,0,1,0,0
"Lowton, Matthew",15,15,0,1,0,1,2,0
"Mee, Ben",26,26,0,1,4,9,5,0
"Pieters, Erik",15,14,0,2,1,4,1,0
"Cork, Jack",24,24,0,0,2,7,0,0
"Gunn, Angus",10,10,0,0,0,0,0,0
"Valery, Yann",8,7,0,1,1,2,1,0
"Romeu, Oriol",20,13,0,0,0,4,3,0
"Adams, Che",20,8,0,1,2,13,0,0
"Guaita, Vicente",24,24,0,0,0,1,1,0
"Ward, Joel",17,15,0,0,1,1,3,0
"Dann, Scott",6,4,0,1,0,2,0,0
