team,player,position,age,contract_value,contract_length,transfer_fee
Brighton & Hove Albion,Jurgen Locadia,F,26,10530000,5 yr,15300000
Brighton & Hove Albion,Shane Duffy,D,28,10400000,5 yr,4460000
Brighton & Hove Albion,Pascal Gross,M,28,10400000,4 yr,2550000
Brighton & Hove Albion,Florin Andone,F,26,10400000,5 yr,5250000
Brighton & Hove Albion,Martin Montoya,D,28,10400000,4 yr,6250000
Brighton & Hove Albion,Davy Propper,M,28,9360000,4 yr,11700000
Brighton & Hove Albion,Jose Izquierdo,F,27,9360000,4 yr,13750000
Brighton & Hove Albion,Anthony Knockaert,M,28,9100000,5 yr,2980000
Brighton & Hove Albion,Mathew Ryan,GK,27,9100000,5 yr,5100000
Brighton & Hove Albion,Yves Bissouma,M,23,6500000,5 yr,15210000
Brighton & Hove Albion,Dale Stephens,M,30,6240000,4 yr,-
Brighton & Hove Albion,Solly March,M,25,6240000,4 yr,4000
Brighton & Hove Albion,Bernardo Fernandes da Silva Junior,D,24,5200000,4 yr,9000000
Brighton & Hove Albion,Ezequiel Schelotto,D,30,4992000,3 yr,2700000
Brighton & Hove Albion,David Button,GK,30,2500000,3 yr,-
Brighton & Hove Albion,Jason Steele,GK,29,2500000,3 yr,-
Brighton & Hove Albion,Leon Balogun,D,31,1900000,2 yr,-
Brighton & Hove Albion,Christian Walton,GK,24,1664000,4 yr,-
Brighton & Hove Albion,Beram Kayal,M,31,1300000,1 yr,-
Brighton & Hove Albion,Gaetan Bong,D,31,1050000,1 yr,-
Brighton & Hove Albion,Aaron Mooy,M,29,0,4 yr,6600000
Brighton & Hove Albion,Steven Alzate,F,21,0,2 yr,-
Brighton & Hove Albion,Dan Burn,D,27,0,4 yr,-
Brighton & Hove Albion,Percy Tau,F,25,0,4 yr,2850000
Brighton & Hove Albion,Matt Clarke,D,23,0,4 yr,4450000
Brighton & Hove Albion,Leandro Trossard,F,25,0,4 yr,22800000
Brighton & Hove Albion,Viktor Gy�keres,F,21,0,3 yr,-
Brighton & Hove Albion,Neal Maupay,F,23,0,-,22800000
Brighton & Hove Albion,Adam Webster,D,25,0,4 yr,24910000
Brighton & Hove Albion,Tariq Lamptey,D,19,0,4 yr,3630000
Burnley F.C.,James Tarkowski,D,27,10400000,4 yr,3400000
Burnley F.C.,Ben Mee,D,30,8580000,3 yr,-
Burnley F.C.,Ben Gibson,D,27,8320000,4 yr,15200000
Burnley F.C.,Nick Pope,GK,27,7280000,4 yr,1130000
Burnley F.C.,Robbie Brady,M,28,7280000,4 yr,12840000
Burnley F.C.,Matej Vydra,F,27,7280000,4 yr,11000000
Burnley F.C.,Ashley Westwood,M,29,6448000,4 yr,4930000
Burnley F.C.,Jack Cork,M,30,5928000,3 yr,10000000
Burnley F.C.,Aaron Lennon,F,32,5460000,3 yr,-
Burnley F.C.,Charlie Taylor,D,26,5200000,4 yr,-
Burnley F.C.,Steven Defour,M,31,4680000,2 yr,7310000
Burnley F.C.,Johann Berg Gudmundsson,M,29,4680000,3 yr,2550000
Burnley F.C.,Joe Hart,GK,32,4680000,2 yr,3500000
Burnley F.C.,Matthew Lowton,D,30,3900000,3 yr,-
Burnley F.C.,Kevin Long,D,29,2392000,2 yr,298000
Burnley F.C.,Jeff Hendrick,M,28,1820000,1 yr,10030000
Burnley F.C.,Phil Bardsley,D,34,1300000,1 yr,2000000
Burnley F.C.,Adam Legzdins,GK,33,780000,3 yr,-
Burnley F.C.,Ashley Barnes,F,30,0,4 yr,-
Burnley F.C.,Jay Rodriguez,F,30,0,2 yr,633000
Burnley F.C.,Erik Pieters,D,31,0,2 yr,-
Burnley F.C.,Chris Wood,F,28,0,4 yr,14760000
Burnley F.C.,Bailey Peacock-Farrell,GK,23,0,4 yr,3140000
Burnley F.C.,Josh Brownhill,M,24,0,5 yr,11000000
Chelsea F.C.,Kepa Arrizabalaga,GK,25,54600000,7 yr,71900000
Chelsea F.C.,Christian Pulisic,F,21,41470000,6 yr,72960000
Chelsea F.C.,N'Golo Kante,M,28,39000000,5 yr,35800000
Chelsea F.C.,Ross Barkley,M,26,28600000,6 yr,15210000
Chelsea F.C.,Tiemou� Bakayoko,M,25,28600000,5 yr,40000000
