player,games,starts,goals,assists,shots_on_goal,shots,yellow,red
"Murphy, Josh",29,22,3,2,15,47,2,0
"Armstrong, Stuart",29,16,3,2,13,32,2,0
"Origi, Divock",12,4,3,1,7,14,0,0
"Andone, Florin",23,8,3,0,8,19,5,0
Junior Hoilett,32,23,3,1,12,41,4,0
"Ahearne-Grant, Karlan",13,9,3,0,10,19,0,0
"Tielemans, Youri",13,13,3,4,13,32,2,0
"Westwood, Ashley",34,31,2,7,7,24,5,0
"Billing, Philip",27,25,2,0,9,40,7,0
"Mounie, Steve",31,19,2,3,21,61,1,1
"Pritchard, Alex",30,26,2,0,15,49,2,0
"Dunk, Lewis",36,36,2,1,4,21,5,0
"Knockaert, Anthony",30,18,2,6,11,29,4,1
"Locadia, Jurgen",26,12,2,0,10,27,1,0
"Gosling, Dan",25,19,2,1,8,21,8,0
"Stanislas, Junior",23,11,2,3,9,32,1,0
"Chambers, Calum",31,29,2,0,12,32,9,0
"Mustafi, Shkodran",31,31,2,0,10,18,9,0
"Sessegnon, Ryan",35,26,2,7,12,31,0,0
"Alonso, Marcos",31,31,2,4,7,43,6,0
"Giroud, Olivier",27,7,2,4,11,31,1,0
"Coleman, Seamus",29,29,2,2,7,14,1,0
"Albrighton, Marc",27,18,2,2,7,19,3,0
"Ndidi, Wilfred",38,37,2,0,9,55,8,0
"De Bruyne, Kevin",19,11,2,2,13,32,2,0
"Herrera, Ander",22,16,2,3,9,20,4,0
"McTominay, Scott",16,9,2,0,6,16,1,0
"Young, Ashley",30,28,2,2,4,13,8,0
Joselu,16,5,2,0,6,16,1,0
"Ritchie, Matt",36,35,2,8,9,39,9,0
"Austin, Charlie",25,11,2,2,7,30,1,0
"Valery, Yann",23,20,2,1,5,6,3,0
"Rice, Declan",34,34,2,0,5,22,4,0
"Saiss, Romain",19,12,2,0,5,11,7,0
"Hughes, Will",32,31,2,4,9,31,5,0
"Keita, Naby",25,16,2,1,10,27,0,0
"Pereira, Ricardo",35,35,2,6,11,27,7,0
"Torreira, Lucas",34,24,2,2,6,26,7,1
Jorginho,37,37,2,0,8,20,8,0
"Yarmolenko, Andriy",9,5,2,0,3,9,2,0
"Sturridge, Daniel",18,4,2,1,6,18,1,0
"Snodgrass, Robert",33,25,2,5,7,29,10,0
"Lerma, Jefferson",30,29,2,0,8,31,12,0
"Zouma, Kurt",32,29,2,1,4,19,3,0
"Dendoncker, Leander",19,17,2,0,10,17,1,0
"Cork, Jack",37,37,1,2,2,18,6,0
"Lennon, Aaron",16,14,1,1,2,4,1,0
"Zohore, Kenneth",19,7,1,1,6,16,1,0
"Stankovic, Jon",11,9,1,0,2,9,2,0
"Kongolo, Terence",32,32,1,0,4,15,4,0
"Schindler, Christopher",37,37,1,0,4,13,4,0
"Kayal, Beram",18,9,1,1,2,5,4,0
"March, Solly",35,30,1,5,10,43,1,0
"Propper, Davy",30,30,1,1,2,12,2,0
"Stephens, Dale",30,29,1,1,1,13,6,1
"Cook, Steve",31,31,1,0,9,21,3,0
"Daniels, Charlie",21,17,1,0,3,12,4,0
"Ibe, Jordon",19,9,1,1,3,9,1,0
"Mousset, Lys",24,1,1,0,7,12,1,0
"Smith, Adam",25,25,1,1,1,9,5,1
"Maitland-Niles, Ainsley",16,11,1,1,3,5,1,0
"Monreal, Nacho",22,21,1,3,4,6,5,0
"Nketiah, Eddie",5,0,1,0,1,3,0,0
"Welbeck, Danny",8,1,1,1,2,4,0,0
"Ayite, Floyd",16,3,1,0,1,7,0,0
"Azpilicueta, Cesar",38,38,1,5,7,17,4,0
"Rudiger, Antonio",33,33,1,0,7,25,7,0
"Jagielka, Phil",7,4,1,0,1,1,0,1
"Keane, Michael",33,33,1,1,9,32,2,0
"Barnes, Harvey",16,11,1,2,11,40,0,0
"Iheanacho, Kelechi",30,9,1,2,6,17,2,0
"Alexander-Arnold, Trent",29,27,1,12,10,29,3,0
"Henderson, Jordan",32,21,1,2,1,17,1,0
"Lovren, Dejan",13,11,1,0,1,6,1,0
"Matip, Joel",22,17,1,0,2,8,3,0
Danilo,11,9,1,0,4,14,1,0
Fernandinho,29,27,1,3,7,30,5,0
"Foden, Philip",13,3,1,0,6,14,0,0
"Kompany, Vincent",17,13,1,0,1,7,6,0
"Walker, Kyle",33,30,1,1,4,21,3,0
"Lindelof, Victor",30,29,1,1,1,7,1,0
"Matic, Nemanja",28,28,1,0,2,12,6,0
"Shaw, Luke",29,29,1,4,8,23,11,0
"Smalling, Chris",24,24,1,0,4,12,1,0
"Sanchez, Alexis",20,9,1,3,9,19,3,0
"Atsu, Christian",28,15,1,0,13,27,2,0
"Hayden, Isaac",25,21,1,4,6,20,3,1
Kenedy,25,14,1,1,5,29,1,0
"Shelvey, Jonjo",16,10,1,1,7,22,1,0
"Yedlin, DeAndre",29,28,1,2,3,10,6,1
"Bertrand, Ryan",24,24,1,0,2,15,8,0
"Soares, Cedric",18,16,1,2,3,10,4,0
"Gabbiadini, Manolo",12,4,1,0,8,19,0,0
"Lemina, Mario",21,18,1,1,5,24,5,0
"Obafemi, Michael",6,1,1,1,2,6,1,0
"Romeu, Oriol",31,25,1,0,4,10,11,0
"Stephens, Jack",24,19,1,0,5,7,4,0
"Foyth, Juan",12,10,1,0,1,4,3,1
"Llorente, Fernando",20,6,1,3,5,23,2,0
"Sanchez, Davinson",23,22,1,1,3,12,2,0
"Trippier, Kieran",27,26,1,3,3,8,2,0
"Vertonghen, Jan",22,22,1,0,2,15,3,0
"Wanyama, Victor",13,4,1,0,2,7,2,0
"Winks, Harry",26,17,1,0,2,9,4,0
"Lanzini, Manuel",10,8,1,1,4,11,2,0
"Ogbonna, Angelo",24,20,1,1,5,14,2,0
"Quina, Domingos",8,3,1,0,1,5,0,0
"Costa, Helder",25,16,1,2,7,26,3,0
"Benteke, Christian",16,9,1,1,9,24,1,0
"Tomkins, James",29,29,1,1,5,18,6,0
"Ward, Joel",7,6,1,0,1,2,1,0
"Capoue, Etienne",33,33,1,2,3,15,14,1
"Cleverley, Tom",13,4,1,0,2,4,2,0
"Femenia, Kiko",29,22,1,1,2,6,1,0
"Balogun, Leon",8,5,1,0,1,2,2,0
"Success, Isaac",30,9,1,1,11,25,4,0
Fred,17,13,1,1,2,17,2,0
"Pereira, Andreas",15,6,1,1,3,9,5,0
"Bacuna, Juninho",21,16,1,0,8,19,4,0
"Diop, Issa",33,33,1,0,5,12,4,0
Fabinho,28,21,1,2,4,17,6,0
"Evans, Jonny",24,21,1,0,3,9,2,0
Sokratis,25,25,1,2,2,10,12,0
"Sema, Ken",17,9,1,2,5,11,1,0
"Seri, Michael",32,27,1,2,6,18,6,0
"Balbuena, Fabian",23,23,1,0,2,18,2,0
"Targett, Matt",16,13,1,3,3,11,2,0
"Morrison, Sean",34,34,1,3,10,35,6,0
"Gunnarsson, Aron",28,27,1,1,4,19,5,0
"Harris, Kadeem",13,3,1,0,3,5,1,0
"Ward, Danny",14,4,1,0,6,11,0,0
"Moutinho, Joao",38,35,1,8,3,19,4,0
"Muto, Yoshinori",17,5,1,0,3,6,1,0
"Cairney, Tom",31,24,1,1,5,23,0,0
"Fredericks, Ryan",15,12,1,0,3,5,5,0
"Bennett, Ryan",34,34,1,0,4,15,12,0
"Ghezzal, Rachid",19,8,1,0,5,19,3,0
"Mbenza, Isaac",22,10,1,1,5,16,1,0
"Vydra, Matej",13,3,1,1,2,5,1,0
"Meyer, Max",29,15,1,2,7,38,3,0
"Ayew, Jordan",20,14,1,1,3,25,3,0
"Traore, Adama",29,8,1,1,7,22,1,0
"Castro, Jonny",33,32,1,1,7,26,6,0
"Vietto, Luciano",20,10,1,4,7,22,1,0
"Gomes, Andre",27,24,1,1,6,21,7,0
Bernard,34,25,1,3,5,23,5,0
"Mina, Yerry",13,10,1,0,1,4,3,0
"Gibson, Ben",1,1,1,0,1,1,1,0
"Longstaff, Sean",9,8,1,0,2,8,2,0
"Bardsley, Phil",19,19,0,0,1,12,9,0
"Brady, Robbie",16,6,0,1,2,13,3,1
"Defour, Steven",6,6,0,0,0,0,0,0
"Heaton, Tom",19,19,0,0,0,1,3,0
"Long, Kevin",6,5,0,1,0,1,0,0
"Lowton, Matthew",21,19,0,0,0,3,7,0
"Nkoudou, Georges-Kevin",1,0,0,1,0,0,0,0
"Taylor, Charlie",38,35,0,1,0,6,2,0
"Ward, Stephen",3,3,0,0,1,1,1,0
"Damour, Loic",2,0,0,0,0,1,0,0
"Ecuele, Bruno",38,37,0,1,3,10,0,0
"Madine, Gary",5,0,0,0,0,0,0,0
"Coleman, Joel",1,1,0,0,0,0,0,0
"Depoitre, Laurent",23,10,0,1,9,29,1,0
"Hadergjonaj, Florent",24,19,0,0,2,6,1,0
"Hogg, Jonathan",29,29,0,1,1,8,8,1
"Kachunga, Elias",20,13,0,0,4,15,2,0
"Lossl, Jonas",31,30,0,1,0,0,1,0
"Lowe, Chris",29,23,0,2,6,19,2,0
"Quaner, Collin",2,0,0,0,0,0,0,0
"Sabiri, Abdelhamid",2,1,0,0,0,0,0,0
"Smith, Tom",15,13,0,0,0,3,2,1
"van La Parra, Rajiv",5,5,0,0,0,5,0,0
"Williams, Danny",5,1,0,0,0,1,1,0
"Bong, Gaetan",22,19,0,0,0,2,0,0
"Izquierdo, Jose",15,9,0,0,3,14,1,0
"Ryan, Mathew",34,34,0,0,0,0,2,0
Bruno,14,14,0,1,0,2,2,0
"Arter, Harry",25,24,0,1,4,22,10,0
"Begovic, Asmir",24,24,0,0,0,0,0,0
"Boruc, Artur",12,12,0,0,0,0,2,0
"Cook, Lewis",13,8,0,0,0,4,2,0
"Defoe, Jermain",4,0,0,0,0,0,0,0
"Francis, Simon",17,13,0,2,1,3,1,0
"Hyndman, Emerson",1,0,0,0,0,0,0,0
"Mings, Tyrone",5,2,0,0,0,0,0,0
"Simpson, Jack",6,4,0,0,1,2,0,0
"Surman, Andrew",18,16,0,0,1,9,2,0
"Bellerin, Hector",19,18,0,5,4,18,3,0
"Cech, Petr",7,7,0,0,0,0,0,0
"Elneny, Mohamed",8,5,0,0,0,7,0,0
"Holding, Rob",10,9,0,0,0,2,1,0
"Kolasinac, Sead",24,22,0,5,2,9,5,0
"Mavropanos, Konstantinos",4,3,0,0,0,2,1,0
"Willock, Joe",2,1,0,0,0,2,0,0
"Wilshere, Jack",8,4,0,1,1,2,2,0
"Christie, Cyrus",28,19,0,1,2,11,7,0
"Cisse, Ibrahima",3,1,0,0,0,0,0,0
"Johansen, Stefan",12,4,0,0,0,1,4,0
"Kebano, Neeskens",7,0,0,0,0,1,0,0
"Odoi, Denis",31,29,0,1,1,9,4,0
"Caballero, Willy",2,2,0,0,0,0,0,0
"Cahill, Gary",2,0,0,0,0,0,0,0
"Christensen, Andreas",8,6,0,0,0,0,1,0
Emerson,10,7,0,0,1,4,0,0
"Fabregas, Cesc",6,1,0,0,0,1,1,0
"Hudson Odoi, Callum",10,4,0,1,4,6,0,0
"Moses, Victor",2,0,0,0,0,0,0,0
"Zappacosta, Davide",4,1,0,0,1,2,0,0
"Baines, Leighton",6,5,0,0,1,2,0,0
"Davies, Tom",16,10,0,0,2,7,3,0
"Gueye, Idrissa",33,32,0,2,4,19,6,0
"Holgate, Mason",5,4,0,0,0,0,1,0
"Kenny, Jonjoe",10,8,0,1,0,3,1,0
"McCarthy, James",1,0,0,0,0,0,0,0
"Niasse, Oumar",18,12,0,0,7,19,0,0
"Pickford, Jordan",38,38,0,0,0,0,1,0
"Schneiderlin, Morgan",14,10,0,1,0,2,2,0
"Amartey, Daniel",9,7,0,0,1,4,2,0
